source,target,t5_label,t5,actual
"""multilabel classification: Guess current timezone --- This adds the ability to guess the browser's timezone. See #138. ### Demo  http://jsfiddle.net/bvjxt7jr/11/ ### Implementation  The implementation is fairly similar to [jstimezonedetect](https://github.com/HenningM/jstimezonedetect). We look through a whitelist of zones and check if the offset matches in both January and June.  There are about 500 different timezone identifiers, and about 60 unique January/June offset pairs in use this year. [The limitations of jstimezonedetect](https://github.com/HenningM/jstimezonedetect#limitations) also apply here. We don't differentiate between `Europe/Berlin` and `Europe/Stockholm` as they are equivalent in recent years. ### Whitelisted names  These are the whitelisted timezone names for each January/June offset pair.  | Jan | Jul | Timezone Name | | --- | --- | --- | | -11:00 | -11:00 | Pacific/Pago_Pago | | -10:00 | -10:00 | Pacific/Honolulu | | -10:00 | -09:00 | America/Adak | | -09:30 | -09:30 | Pacific/Marquesas | | -09:00 | -09:00 | Pacific""",feature,feature,0,0
multilabel classification: Make routing time-dependent --- Related to #831     Currently only the public transit routing is really time-dependent.     Traffic data integration and CH road routing are not the goals of this issue.,feature,feature,0,0
multilabel classification: Adds the ability to define types of assets to be auto-loaded --- Adds the ability to define types of assets to be auto-loaded when the module is initialized.,feature,feature,0,0
"""multilabel classification: Retrieving stats when running with --no-web --- What is the recommended way of retrieving stats from locust when running with '--no-web'?   I am currently running a load test programmatically and with the web interface disabled, I am unable to poll stats/requests/csv while the test is running.  I tried using the log file with '--print-stats' but the stats are not printed to the log.  Thanks!  """,feature,performance,1,0
multilabel classification: Entity Resource Test - Bug when an entity is created with a Blob attribute --- ,bug,bug,0,0
multilabel classification: Test suite failed to run. Your test suite must contain at least one test. --- ,bug,bug,0,0
multilabel classification: Creating an entity called Document when using mongodb leads to broken Application --- ,bug,bug,0,0
multilabel classification: Initial implementation of the EditorTool class and world editor hook-in. --- ,feature,feature,0,0
multilabel classification: Cannot open entity page for generated entities including a field with type enum --- ,bug,bug,0,0
multilabel classification: faster object instantiation --- Hi !  Is Mongoengine performing any data integrity check on load/read ? While data integrity is important to me on write it is a lot less on read  Asking because the model instantiation can be a bit slow and not sure what is causing it. ,performance,performance,1,1
multilabel classification: Detail page is weird since .dl-horizontal has been replaced by .row --- ,bug,bug,0,0
"""multilabel classification: ClientPackageManager is set to npm in jdl, but jhipster sets yarn in angular.json --- """,bug,bug,0,0
multilabel classification: Adds gui3DProjectionCtrl --- Adds gui3DProjectionCtrl so a gui control can be tracked to a point in 3d space,feature,feature,0,0
"""multilabel classification: Refactored OSM Shapefile importer --- Fixes / changes completed    1. Highway tag – we’re now using this (not used before, previously the code was using a hardcoded speed or max speed if non-zero).    1. Max speed tag now passed properly to the encoders. Added a filter for value “0” as in Geofabrik shapefiles 0 means no tag, but 0 will probably just mean 0 speed in the Graphhopper flag encoders…    1. One way tags now used properly. Previously the code was only checking for “0” and treating this as boolean. You also have to check for against the direction of digitisation (e.g. value “-1” if its one-way against the directory of digitisation). Also Geofabrik is using an odd (unfortunately non-standard) convention for their shapefile oneway field; I now read this convention but turn into the standard convention in the ReaderWay I pass to the flag encoders. This could break in the future if Geofabrik clean this up (the code will throw an exception with a useful message if it breaks).    1. Encoding manager now used properly. I""",feature,feature,0,0
"""multilabel classification: Limiting the number of completions to return --- There are some huge python libraries like `wx` (`brew install wxpython`) with ~4K objects in the root of the module.        This requires 3GB of RAM to run and a lot of time, with twice more time with dry cache.    How could we deal with such libraries? This would hung any completion provider. My first thought would be to return generator on `.completions()` call instead of precomputing all possible completions, so we could ignore some objects if there's too many of them.""",performance,performance,1,1
multilabel classification: Angular: user management page bugged when trying to CRUD --- ,bug,bug,0,0
multilabel classification: Expected spy to have been called but it was not called in jest test framework   --- ,bug,bug,0,0
"""multilabel classification: On session expired , Login modal window does not open --- """,bug,bug,0,0
"""multilabel classification: New feature: additional close button --- Please, add cross button option in top right button. """,feature,feature,0,0
multilabel classification: Initial schema creation error when using OAuth2 with Oracle DB --- ,bug,bug,0,0
"""multilabel classification: Use a dedicated TestResult object instead of keeping ConjectureData around --- The main motivation for doing this was memory usage, but I think it actually makes the API much cleaner to have a logical distinction between its data and its result, and it's something I've vaguely felt I should do for a while but never got around to.""",performance,feature,0,1
multilabel classification: Improve performances of the task queue. --- Ensure no new properties are added. Don't use the delete operator. According to previous discussions. ,performance,performance,1,1
multilabel classification: java 7 compilation fails since HikariCP-java6 version 2.4.0 is not in maven repo --- ,bug,bug,0,0
multilabel classification: Add init size for NEWARR opcode (array literal) --- Similar to NEWOBJ init size.    - [x] Add NEWARR init size to compiler  - [x] Add NEWARR init size to executor  - [x] Debugger opcode metadata  - [x] Testcase coverage  - [x] Perf tests  - [x] Releases entry,performance,feature,0,1
multilabel classification: jhipster:entity error if translation vietnamese - _entity_vi.json not found --- ,bug,bug,0,0
multilabel classification: Cannot set negative values for numeric fields of entities --- ,bug,bug,0,0
"""multilabel classification: Adds the RotationF utility math class. --- The class is designed as a general-purpose rotation/orientation class to make it easy to work with rotations and swap between math types as easily as possible.  Cleaned up second go at this, with some reorginizations and fixes. """,feature,feature,0,0
"""multilabel classification: Don't rewrite novel buffers --- Another oh this is one of the the allocation hotspots and there's no good reason for it to be PR which is unlikely to have a huge impact in and of its own right but is small enough that it's worth doing anyway.    When we look up a buffer we rewrite it to see if it corresponds to something we've previously run, but if there's a novel behaviour then we definitely *haven't* run it before, so there's no point in rewriting it. When the buffer is large, doing so can involve a bunch of useless allocations.""",performance,performance,1,1
multilabel classification: Generated entity service name could clash with JHipster service name  --- ,bug,bug,0,0
multilabel classification: Classes that implements Serializable would be nice to have serialVersionUID --- ,bug,feature,0,0
multilabel classification: Mapstruct Implementation assumes that all related entity has a DTO --- ,bug,bug,0,0
multilabel classification: Error when creating many to one entity and trying to choose.  --- ,bug,bug,0,0
multilabel classification: TypeError: Cannot assign to read only property 'Symbol(Symbol.toStringTag)' of object '#<process>' --- ,bug,bug,0,0
multilabel classification: Documentation is unclear on how to handle global variables --- ,bug,documentation,0,0
"""multilabel classification: Add JSON.stringify() fast path for plain buffers --- Virtual index keys are enumerable, so result is e.g. `{0:123,1:10}`.""",performance,feature,0,1
multilabel classification: Add car4wd routing profile --- Allow routing through tracks regardless of their tracktype value. Including support for block_fords and block_barriers config settings. ,feature,feature,0,0
multilabel classification: Very slow PAIR performance compared to nanomsg --- Throughput performance measured with embedded local_thr and remote_thr show 40 times slower performance compared to nanomsg!   nanomsg: > 600.000 msg/sec  nng:         15.000 msg/sec,performance,performance,1,1
multilabel classification: [Feature] Create Angular.js directive --- Is is possible for one to create an Angular.js plugin for this one? ,feature,feature,0,0
"""multilabel classification: Don't bother calculating the giant table of masks that we never use --- See title.    Usage of this field went away in #1846 but the field itself did not. The field itself is potentially quite big, and updating it potentially happens quite often (in my Csmith experiments all `draw_bits` calls are with `n_bits=31`. So this was getting populated on every single call. This was a poor life choice)""",performance,performance,1,1
multilabel classification: Jest 23: Spy on Date.now breaks done() in async tests --- ,bug,bug,0,0
"""multilabel classification: Optimize duk_propdesc filling when property not found --- When looking for a property through the inheritance chain, current code first fills in not found values to the output `duk_propdesc` and then modifies only the necessary fields, e.g. setting e_idx and flags. This happens even when the property is not found, and is done for every level of the inheritance chain check.    Change the code to fill in the `duk_propdesc` only when the property is found. Don't fill in anything if the property is not found, the return code of the lookup is enough for the caller to ignore any values in the struct.    Tasks:  - [x] Rebase  - [x] Check call sites to ensure they respect propdesc lookup return value  - [x] Use explicit return value for find existing entry, fix call sites  - [x] Perf test  - [x] Manual assert test run  - [x] Releases entry""",performance,performance,1,1
multilabel classification: entity sub-generator: invalid dependency between --regenerate and --table-name for entities with reserved words as names --- ,bug,bug,0,0
"""multilabel classification: message queue put_error unused --- The nni_msgq_set_put_error and the nni_msgq_set_error apis are unused.  (The nni_msgq_set_get_error API is still used by the surveyor pattern -- which is something we should fix.)    We should eliminate that code -- using it requires holding locks across longer code flows, including conditional branches which are painful.    This is legacy from when we used the message queue for everything -- these days many patterns simply bypass the upper message queue.""",performance,performance,1,1
"""multilabel classification: Isochrones for public transit --- Like this:    http://localhost:5000/isochrone?point=45.5176544,-122.6781463&pt.earliest_departure_time=2018-07-03T18:43:04Z&time_limit=1200    <img width=758 alt=screen shot 2018-07-03 at 16 18 57 src=https://user-images.githubusercontent.com/520916/42225647-524eb54a-7edd-11e8-9a58-6bc462407d20.png>  """,feature,feature,0,0
multilabel classification: upgrade force option does not work on jhipster modules --- ,bug,bug,0,0
multilabel classification: Jest can't find babel plugin that is installed and exists --- ,bug,bug,0,0
multilabel classification: Regression: Generating a TextBlob creates a file upload field in 4.3.0 --- ,bug,bug,0,0
